iter	Passed	Remaining
674	1296	624
675	1298	622
676	1299	620
677	1301	618
678	1303	616
679	1304	613
680	1306	611
681	1307	609
682	1308	607
683	1311	605
684	1313	603
685	1315	602
686	1316	599
687	1318	597
688	1319	595
689	1321	593
690	1322	591
691	1325	589
692	1326	587
693	1328	585
694	1330	583
695	1331	581
696	1333	579
697	1334	577
698	1336	575
699	1337	573
700	1338	571
701	1340	568
702	1341	566
703	1342	564
704	1344	562
705	1345	560
706	1347	558
707	1348	556
708	1350	554
709	1351	552
710	1353	550
711	1354	548
712	1356	545
713	1357	543
714	1359	541
715	1360	539
716	1362	537
717	1363	535
718	1365	533
719	1367	531
720	1369	529
721	1371	528
722	1373	526
723	1374	524
724	1376	522
725	1378	520
726	1379	518
727	1380	515
728	1383	514
729	1386	512
730	1388	510
731	1389	508
732	1391	506
733	1392	504
734	1394	502
735	1396	500
736	1399	499
737	1400	497
738	1402	495
739	1404	493
740	1406	491
741	1408	489
742	1409	487
743	1412	485
744	1413	483
745	1414	481
746	1416	479
747	1417	477
748	1419	475
749	1420	473
750	1421	471
751	1423	469
752	1425	467
753	1426	465
754	1428	463
755	1430	461
756	1431	459
757	1432	457
758	1434	455
759	1435	453
760	1437	451
761	1438	449
762	1440	447
763	1441	445
764	1442	443
765	1444	441
766	1446	439
767	1448	437
768	1449	435
769	1451	433
770	1452	431
771	1454	429
772	1455	427
773	1457	425
774	1459	423
775	1460	421
776	1461	419
777	1463	417
778	1464	415
779	1466	413
780	1468	411
781	1470	409
782	1471	407
783	1473	405
784	1474	403
785	1476	401
786	1478	400
787	1479	398
788	1481	396
789	1482	394
790	1484	392
791	1485	390
792	1487	388
793	1488	386
794	1490	384
795	1492	382
796	1493	380
797	1494	378
798	1496	376
799	1497	374
800	1499	372
801	1500	370
802	1502	368
803	1503	366
804	1505	364
805	1507	362
806	1508	360
807	1510	358
808	1512	357
809	1514	355
810	1515	353
811	1517	351
812	1519	349
813	1520	347
814	1522	345
815	1524	343
816	1526	341
817	1527	339
818	1528	337
819	1530	335
820	1531	333
821	1533	332
822	1535	330
823	1536	328
824	1538	326
825	1539	324
826	1540	322
827	1542	320
828	1543	318
829	1545	316
830	1546	314
831	1547	312
832	1548	310
833	1550	308
834	1551	306
835	1553	304
836	1554	302
837	1556	300
838	1557	298
839	1559	297
840	1560	295
841	1562	293
842	1564	291
843	1565	289
844	1566	287
845	1568	285
846	1570	283
847	1571	281
848	1572	279
849	1574	277
850	1575	275
851	1577	274
852	1578	272
853	1580	270
854	1582	268
855	1583	266
856	1586	264
857	1588	262
